question,authors,year,title,venue,doi,doi_url,study_design,sample,population_mismatch,claim_supported,retracted_flag_openalex,retracted_flag_crossref,sweep_track
A1,"Agnis Stibe, Brian Cugelman",2016,Persuasive Backfiring: When Behavior Change Interventions Trigger Unintended Negative Outcomes,Persuasive Technology (Lecture Notes in Computer Science),10.1007/978-3-319-31510-2_6,https://doi.org/10.1007/978-3-319-31510-2_6,expert opinion / conceptual framework,"conceptual, no human sample",No empirical sample; no ADHD relevance,Theoretical framing for persuasive interventions producing the opposite of the intended effect,False,False,Character guilt
A1,"Cláuvin Almeida, Marcos Kalinowski, Anderson Uchôa, Bruno Feijó",2023,Negative effects of gamification in education software: Systematic mapping and practitioner perceptions,Information and Software Technology,10.1016/j.infsof.2022.107142,https://doi.org/10.1016/j.infsof.2022.107142,systematic mapping of 87 papers,"mostly student samples in education software, general population","Education/learning systems and student samples, not adult ADHD self-care",Motivational issues and worsened performance among most-cited negative effects of game design elements,False,False,Character guilt
A1,"Daniel A. Epstein, Jennifer H. Kang, Laura R. Pina, James Fogarty, Sean A. Munson",2016,Reconsidering the device in the drawer,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing (UbiComp '16),10.1145/2971648.2971656,https://doi.org/10.1145/2971648.2971656,survey + design study (qualitative),"141 adults who lapsed in Fitbit use, general population","General adult population, no ADHD relevance; Fitbit data framing rather than an anthropomorphic character",Lapses are a designable moment; framing and aggregation of lapsed data change whether users can face it,False,False,Character guilt
A1,"Daniel A. Epstein, Monica Caraway, Chuck Johnston, An Ping, James Fogarty, Sean A. Munson",2016,Beyond Abandonment to Next Steps,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems (CHI '16),10.1145/2858036.2858045,https://doi.org/10.1145/2858036.2858045,mixed-methods survey + interview (qualitative),"adults, general population self-trackers (193 surveyed, 12 interviewed), no ADHD relevance","General-population adult self-trackers, not ADHD (clinical, subclinical or self-identified); tracking tools, not a virtual pet","Guilt is a quantified post-abandonment perspective (16.2% of activity trackers, 8.9% of finance trackers) in tools with NO punitive feedback, no character and no failure state; 'freedom' is the counter-perspective",False,False,Character guilt
A1,"Haiyan Chen, Klaus Schoefer, Danae Manika, Effy Tzemou",2024,The “Dark Side” of General Health and Fitness-Related Self-Service Technologies: A Systematic Review of the Literature and Directions for Future Research,Journal of Public Policy & Marketing,10.1177/07439156231224731,https://doi.org/10.1177/07439156231224731,systematic review,"adults, general population health/fitness app and wearable users",General population health/fitness technology; no ADHD relevance and no anthropomorphic character,Frames abandonment as an emotion-focused coping tactic for negative psychological reactions to the technology,False,False,Character guilt
A1,"Jesse Chandler, Norbert Schwarz",2010,Use does not wear ragged the fabric of friendship: Thinking of objects as alive makes people less willing to replace them,Journal of Consumer Psychology,10.1016/j.jcps.2009.12.008,https://doi.org/10.1016/j.jcps.2009.12.008,two experiments,"adult consumers, general population","Consumer product replacement, not app use; general population, no ADHD relevance",Anthropomorphic framing makes people less willing to replace an object and reduces weight given to its quality,False,False,Character guilt
A1,"Kyle Johnsen, Sun Joo Ahn, James N. Moore, Scott Brown, Thomas P. Robertson, Amanda Marable, Aryabrata Basu",2014,Mixed Reality Virtual Pets to Reduce Childhood Obesity,IEEE Transactions on Visualization and Computer Graphics,10.1109/tvcg.2014.33,https://doi.org/10.1109/tvcg.2014.33,mixed-reality system evaluation,"children, general population","Children, general population; contingent-decline pet, unlike PetTodo's no-failure-state design",Virtual pet health/happiness/intelligence contingent on child's exercise motivated activity — again a declining-state design,False,False,Character guilt
A1,"Linnea Laestadius, Andrea Bishop, Michael Gonzalez, Diana Illenčík, Celeste Campos‐Castillo",2024,Too human and not human enough: A grounded theory analysis of mental health harms from emotional dependence on the social chatbot Replika,New Media & Society,10.1177/14614448221142007,https://doi.org/10.1177/14614448221142007,grounded theory analysis of 582 posts (qualitative),"adults posting publicly in r/Replika, self-selected, mental-health-relevant content, not diagnosed","Self-identified/undiagnosed adults (closest population match), but a conversational companion, not a task list or pet",Harms mediated by emotional dependence and by role-taking: users felt the character had its own needs and emotions they must attend to,False,False,Character guilt
A1,"M. Dodd, Allan Fowler, Danielle Lottridge",2025,Purr-ogrammed love: A narrative review of virtual pets,Entertainment Computing,10.1016/j.entcom.2025.100958,https://doi.org/10.1016/j.entcom.2025.100958,narrative review,"mixed populations, predominantly children, across 45 included articles",Predominantly children and entertainment contexts; not adult ADHD productivity,'Life and death' is one of six major themes in the virtual-pet literature — neglect-and-consequence is the genre's dominant convention,False,False,Character guilt
A1,"Maartje M.A. de Graaf, Somaya Ben Allouch, Jan van Dijk",2017,Why Do They Refuse to Use My Robot?,Proceedings of the 2017 ACM/IEEE International Conference on Human-Robot Interaction (HRI '17),10.1145/2909824.3020236,https://doi.org/10.1145/2909824.3020236,longitudinal field deployment with questionnaires and interviews (observational),"adult householders, general population (70 robots placed for up to six months)","General adult population; a physical social robot, not a phone-based pet",Documents reasons for refusal and abandonment of an in-home social agent; short-term enjoyment does not sustain long-term use,False,False,Character guilt
